         _id            timestamp  ... device  label
12833  12834  2019-07-24 10:03:03  ...   Watch       
12834  12835  2019-07-24 10:04:04  ...   Watch       
12835  12836  2019-07-24 10:05:23  ...   Watch       
12836  12837  2019-07-24 10:15:22  ...   Watch       
12837  12838  2019-07-24 10:16:23  ...   Watch       
12838  12839  2019-07-24 10:17:51  ...   Watch       
12839  12840  2019-07-24 10:22:54  ...   Watch       
12840  12841  2019-07-24 10:31:45  ...   Watch       
12841  12842  2019-07-24 11:55:08  ...   Watch       
12842  12843  2019-07-24 12:01:33  ...  iPhone       
12843  12844  2019-07-24 12:07:02  ...   Watch       
12844  12845  2019-07-24 12:09:26  ...   Watch       
12845  12846  2019-07-24 12:12:14  ...   Watch       
12846  12847  2019-07-24 12:12:16  ...  iPhone       
12847  12848  2019-07-24 12:13:15  ...   Watch       
12848  12849  2019-07-24 12:53:36  ...   Watch       
16014  16015  2019-07-24 13:01:52  ...   Watch       
16015  16016  2019-07-24 13:06:52  ...   Watch       

[540 rows x 9 columns] 


         _id            timestamp  ...  device  label
11379  11380  2019-07-21 13:27:18  ...  iPhone       
11380  11381  2019-07-21 18:38:42  ...  iPhone       
11381  11382  2019-07-22 09:58:45  ...  iPhone       
11382  11383  2019-07-22 15:03:39  ...  iPhone       
11383  11384  2019-07-24 09:43:50  ...  iPhone       
11914  11915  2019-07-21 13:27:18  ...  iPhone       
11915  11916  2019-07-21 18:38:42  ...  iPhone       
11916  11917  2019-07-22 09:58:45  ...  iPhone       
11917  11918  2019-07-22 15:03:39  ...  iPhone       
11918  11919  2019-07-24 09:43:50  ...  iPhone       

[10 rows x 9 columns] 


         _id            timestamp  ...  device  label
11384  11385  2019-07-21 13:16:31  ...  iPhone       
11385  11386  2019-07-21 13:26:52  ...  iPhone       
11386  11387  2019-07-21 13:42:19  ...  iPhone       
11387  11388  2019-07-21 14:01:29  ...  iPhone       
11388  11389  2019-07-21 14:13:06  ...  iPhone       
11389  11390  2019-07-21 14:23:05  ...  iPhone       
11390  11391  2019-07-21 14:38:57  ...  iPhone       
11391  11392  2019-07-21 14:48:29  ...  iPhone       
11392  11393  2019-07-21 14:58:36  ...  iPhone       
11393  11394  2019-07-21 15:09:09  ...  iPhone       
11394  11395  2019-07-21 15:19:39  ...  iPhone       
11395  11396  2019-07-21 15:29:40  ...  iPhone       
11396  11397  2019-07-21 15:50:57  ...  iPhone       
11397  11398  2019-07-21 16:39:05  ...  iPhone       
11398  11399  2019-07-21 16:49:20  ...  iPhone       
11399  11400  2019-07-21 17:00:54  ...  iPhone       
11400  11401  2019-07-21 17:10:53  ...  iPhone       
11401  11402  2019-07-21 17:22:37  ...  iPhone       
11402  11403  2019-07-21 17:32:37  ...  iPhone       
11403  11404  2019-07-21 17:42:36  ...  iPhone       
